name,selling_price,year,seller_type,owner,km_driven,ex_showroom_price
Royal Enfield Classic 350,175000,2019,blanc,1st owner,350,
Honda Dio,45000,2017,blanc,1st owner,5650,
Royal Enfield Classic Gunmetal Grey,150000,2018,blanc,1st owner,12000,
Yamaha Fazer FI V 2.0 [2016-2018],65000,2015,blanc,1st owner,23000,
Yamaha SZ [2013-2014],20000,2011,blanc,2nd owner,21000,
Honda CB Twister,18000,2010,blanc,1st owner,60000,
Honda CB Hornet 160R,78500,2018,blanc,1st owner,17000,
Royal Enfield Bullet 350 [2007-2011],180000,2008,blanc,2nd owner,39000,
Hero Honda CBZ extreme,30000,2010,blanc,1st owner,32000,
Bajaj Discover 125,50000,2016,blanc,1st owner,42000,
Yamaha FZ16,35000,2015,blanc,1st owner,32000,
Honda Navi,28000,2016,blanc,2nd owner,10000,
Bajaj Avenger Street 220,80000,2018,blanc,1st owner,21178,
Yamaha YZF R3,365000,2019,blanc,1st owner,1127,
Jawa 42,185000,2020,blanc,1st owner,1700,
Suzuki Access 125 [2007-2016],25000,2012,blanc,1st owner,55000,
Hero Honda Glamour,25000,2006,blanc,1st owner,27000,
Yamaha YZF R15 S,40000,2010,blanc,2nd owner,45000,
Royal Enfield Classic Gunmetal Grey,150000,2018,blanc,1st owner,23000,
Yamaha FZ25,120000,2018,blanc,1st owner,39000,
Hero Passion Pro 110,15000,2008,blanc,1st owner,60000,
Honda Navi [2016-2017],26000,2016,blanc,1st owner,17450,
Honda Activa i,32000,2013,blanc,2nd owner,20696,
Jawa Standard,180000,2019,blanc,1st owner,2000,
Royal Enfield Thunderbird 350,110000,2016,blanc,1st owner,20000,
Honda Dream Yuga,25000,2012,blanc,1st owner,35000,
TVS Apache RTR 160 4V,80000,2018,blanc,1st owner,15210,
Honda Navi [2016-2017],42000,2017,blanc,1st owner,24000,
Yamaha Fazer [2009-2016],40000,2013,blanc,3rd owner,35000,
Hero Honda Splendor NXG,21000,2009,blanc,1st owner,10000,
Hero Glamour 125,55000,2017,blanc,1st owner,2500,
Yamaha FZ S [2012-2016],38000,2013,blanc,1st owner,75000,
Hero Xtreme Sports,43000,2016,blanc,2nd owner,50000,
Honda X-Blade,65000,2018,blanc,1st owner,27000,
Honda CB Shine SP,62000,2019,blanc,1st owner,10000,
Honda Activa 5G,60000,2018,blanc,1st owner,6502,
Hero Glamour 125,45000,2018,blanc,1st owner,21000,
Honda CBR-250R,120000,2016,blanc,1st owner,16000,
Hero Honda Passion PRO [2012],30000,2011,blanc,1st owner,42000,
Royal Enfield Thunderbird 350,90000,2015,blanc,3rd owner,13000,
Bajaj Dominar 400,125000,2017,blanc,1st owner,12800,
Hero Glamour FI,50000,2018,blanc,1st owner,20000,
KTM 390 Duke,175000,2017,blanc,1st owner,4600,
Hero Passion XPro,28000,2012,blanc,1st owner,81000,
Yamaha FZ S V 2.0,85000,2018,blanc,1st owner,8000,
Hero Achiever 150,29900,2016,blanc,1st owner,55000,
Bajaj Discover 125,25000,2011,blanc,1st owner,57000,
Yamaha FZ16,30000,2009,blanc,2nd owner,26000,
Yamaha Saluto,60000,2018,blanc,1st owner,13000,
Yamaha FZ16,35000,2012,blanc,2nd owner,29000,
Bajaj Discover 100,25000,2010,blanc,1st owner,43000,
Honda CB Trigger,30000,2015,blanc,1st owner,40000,
Royal Enfield Electra 5 S,90000,2010,blanc,2nd owner,40000,
Hero Splendor PRO,35000,2015,blanc,2nd owner,24000,
Honda Activa 5G,70000,2019,blanc,1st owner,3000,
Hero Honda Passion Plus,25000,2006,blanc,1st owner,75000,
Bajaj Pulsar 150,25000,2010,blanc,1st owner,42000,
Royal Enfield Bullet 350,90000,2014,blanc,1st owner,13000,
Bajaj Discover 125,25000,2013,blanc,1st owner,55000,
Bajaj Pulsar 150 [2001-2011],42000,2011,blanc,1st owner,23000,
Hero Splendor PRO,35000,2015,blanc,2nd owner,24000,
Hero Xtreme Sports,50000,2014,blanc,1st owner,80000,
Honda Activa 3G,30000,2015,blanc,1st owner,39000,
Yamaha FZ16,48000,2016,blanc,1st owner,20000,
Honda CB Hornet 160R,65000,2016,blanc,1st owner,30000,
Royal Enfield Thunderbird 350,85000,2013,blanc,1st owner,21000,
Hero Hunk,45000,2014,blanc,1st owner,41000,
Suzuki Let''s,34000,2014,blanc,1st owner,8000,
Royal Enfield Electra 4 S,90000,2008,blanc,1st owner,50000,
TVS Scooty Pep Plus,35000,2012,blanc,1st owner,8150,
Mahindra Mojo XT300,165000,2017,blanc,1st owner,1933,
TVS Apache RTR 160,35000,2013,blanc,1st owner,55750,
Bajaj Pulsar AS200,65000,2015,blanc,1st owner,15856,
Bajaj Pulsar 150,29500,2013,blanc,1st owner,27000,
Royal Enfield Thunderbird 350X,165000423,2019,blanc,1st owner,3700,
Suzuki Intruder 150,95000,2018,blanc,1st owner,21938,
Hero Honda Karizma ZMR [2010],50000,2010,blanc,1st owner,48000,
Honda Dio,7500,2009,blanc,2nd owner,16000,
Bajaj Xcd,25000,2008,blanc,1st owner,54000,
Hero Splendor Plus,35000,2014,blanc,2nd owner,35000,
Royal Enfield Thunderbird 350X,160000,2018,blanc,1st owner,15000,
Honda CB Unicorn 150,50000,2014,blanc,1st owner,32000,
Honda Activa 5G,62000,2019,blanc,1st owner,3500,
Honda CB Twister,30000,2013,blanc,1st owner,9000,
Hero Splendor PRO,28000,2015,blanc,1st owner,38000,
Hero Honda CD Deluxe,25000,2009,blanc,1st owner,50000,
Honda Activa i [2016-2017],30000,2015,blanc,2nd owner,20000,
Royal Enfield Classic Gunmetal Grey,140000,2018,blanc,1st owner,22000,
TVS Scooty Zest 110,30000,2017,blanc,1st owner,9432,
Hero CD Deluxe,25000,2014,blanc,1st owner,70000,
Suzuki Access 125 [2007-2016],22000,2010,blanc,2nd owner,43000,
Honda Activa [2000-2015],22989,2012,blanc,1st owner,500000,
Honda Activa 125 [2016-2017],42000,2016,blanc,1st owner,30514,
Suzuki GS150R,30000,2010,blanc,1st owner,130000,
Bajaj Pulsar 220S,55000,2015,blanc,1st owner,45000,
Honda Activa 4G,45000,2018,blanc,1st owner,25000,
Yamaha FZ25,150000,2019,blanc,1st owner,2500,
Bajaj Pulsar 150,42000,2015,blanc,1st owner,22770,
Hero Splendor Plus,30000,2015,blanc,1st owner,30000,
Bajaj Discover 100,24999,2012,blanc,2nd owner,35000,
Royal Enfield Thunderbird 350X,160000,2019,blanc,1st owner,6330,
Royal Enfield Classic 350,175000,2020,blanc,1st owner,500,
Bajaj Pulsar 150,40000,2013,blanc,1st owner,43400,
Bajaj Pulsar NS160,85000,2018,blanc,1st owner,7004,
Royal Enfield Classic Desert Storm,150000,2017,blanc,1st owner,16500,
Suzuki Gixxer SF,80000,2018,blanc,1st owner,12500,
TVS Apache RTR 200 4V,95000,2018,blanc,1st owner,9600,
Bajaj V15,42000,2016,blanc,1st owner,35000,
TVS XL 100 Heavy Duty,40000,2019,blanc,1st owner,11000,
Yamaha FZ S V 2.0,50000,2015,blanc,1st owner,20000,
Hero HF Deluxe,40000,2018,blanc,1st owner,13000,
Aprilia SR 125,75000,2019,blanc,1st owner,3500,
Yamaha FZ25,120000,2017,blanc,1st owner,9000,
Hero Honda Glamour,30000,2008,blanc,1st owner,7500,
Bajaj Discover 125 ST,17500,2013,blanc,1st owner,38000,
Hero Honda Passion Plus,7500,2004,blanc,1st owner,120000,
Honda Aviator,57000,2018,blanc,1st owner,6465,
Vespa SXL 149,80000,2018,blanc,1st owner,18803,
TVS Scooty Pep Plus,18000,2010,blanc,1st owner,20000,
Hero Xtreme [2013-2014],25000,2013,blanc,1st owner,24000,
Royal Enfield Thunderbird 350,83900,2014,blanc,2nd owner,22000,
UM Renegade Commando,160000,2018,blanc,1st owner,7000,
Royal Enfield Classic Gunmetal Grey,135000,2018,blanc,1st owner,6100,
Honda CB Hornet 160R,55000,2017,blanc,1st owner,14000,
Honda Shine,50000,2017,blanc,1st owner,23000,
Bajaj Discover 100,20000,2012,blanc,1st owner,85000,
Hero Honda CBZ extreme,25000,2010,blanc,1st owner,40000,
Royal Enfield Classic 350,125000,2017,blanc,1st owner,18000,
Honda Activa 5G,55000,2019,blanc,1st owner,10000,
Bajaj Avenger Street 150 [2018],50000,2016,blanc,1st owner,40000,
Royal Enfield Continental GT 650,299000,2019,blanc,1st owner,1500,
Honda Activa 3G,60000,2015,blanc,1st owner,30000,
Honda Activa 3G,40000,2015,blanc,1st owner,3000,
Bajaj Pulsar 180,15000,2008,blanc,1st owner,55000,
Harley-Davidson Street Bob,750000,2013,blanc,2nd owner,12000,
Hero Honda CBZ extreme,20000,2007,blanc,1st owner,90000,
